ID,Name,Description,ColumnSpec,Grammacodes
Table1,"Order of demonstrative, numeral, adjective and noun",Word order type (Table 1 in Dryer 2018),,ADDEM;DMORD;CNUM;ADJ
Table3,Position of verbal/nonverbal adjectives and numerals,Relationship between whether semantic adjectives are verbs and whether they occur closer to the noun than numerals when both occur on the same side of the noun (Table 3 in Dryer 2018),,DMORD;ADJ;CNUM
Table4,Verbal/nonverbal adjectives and demonstratives,Relationship between whether semantic adjectives are verbs and whether they occur closer to the noun than demonstratives when both occur on the same side of the noun (Table 4 in Dryer 2018),,ADJ;ADDEM
Table5,Numeral classifiers and numeral-demonstrative order,Relationship between whether a language has numeral classifiers and whether numerals occur closer to the noun than the demonstratives when both occur on the same side of the noun (Table 5 in Dryer 2018),,DMORD;NUMV;CNUM;ADDEM
Table6,Numeral classifiers and numeral-adjective order,Relationship between whether a language has numeral classifiers and whether semantic adjectives occur closer to the noun than the numeral when both occur on the same side of the noun (Table 6 in Dryer 2018),,NUMV;DMORD;CNUM;ADJ
Table7,Position of verbal vs. nonverbal adjectives,Relationship between whether semantic adjectives are verbs and the order of adjective and noun (Table 7 in Dryer 2018),,DMORD;ADJ
Table8,Numeral classifiers and numeral/demonstrative position,Relationship between whether the language has numeral classifiers and whether numeral and demonstrative occur on the same side of the noun (Table 8 in Dryer 2018),,NUMV;DMORD;CNUM;ADDEM
Table9,Numeral classifiers and numeral/adjective position,Relationship between whether the language has numeral classifiers and whether numeral and adjective occur on the same side of the noun (Table 9 in Dryer 2018),,NUMV;CNUM;ADJ;DMORD
Table10,Position of adjectives and relative clauses,Relationship between the order of semantic adjective and noun and the order of relative clause and noun in languages where semantic adjectives are not verbs (Table 10 in Dryer 2018),,DMORD;RELC;ADJ
Table13,Adjusted frequencies,"""Adjusted frequencies bearing on Greenberg’s Universal 18",,
