ID,Parameter_ID,Name,Description,Map_Icon
1-1,Table1,N-A-Num-Dem,,c990099
1-2,Table1,Dem-Num-A-N,,cffff00
1-3,Table1,Dem-N-A-Num,,dffff00
1-4,Table1,Dem-Num-N-A,,sffff00
1-5,Table1,N-A-Dem-Num,,d990099
1-6,Table1,Num-N-A-Dem,,s990099
1-7,Table1,Dem-N-Num-A,,cff6600
1-8,Table1,N-Dem-A-Num,,c0000dd
1-9,Table1,N-Num-A-Dem,,d0000dd
1-10,Table1,N-Dem-Num-A,,s0000dd
1-11,Table1,Dem-A-N-Num,,dff6600
1-12,Table1,Num-A-N-Dem,,c000000
1-13,Table1,A-N-Num-Dem,,d000000
1-14,Table1,Num-N-Dem-A,,s000000
1-15,Table1,A-N-Dem-Num,,ccccccc
1-16,Table1,Dem-A-Num-N,,sff6600
1-17,Table1,Num-Dem-A-N,,cffffff
1-18,Table1,N-Num-Dem-A,,dcccccc
4-1,Table3,Adj is verb & Adj closer to noun than Num,Semantic adjectives are verbs; adjective is closer to noun than numeral (both occur on the same side of the noun),c0000dd
4-2,Table3,Adj is verb & Adj further from noun than Num,Semantic adjectives are verbs; numeral is closer to noun than adjective (both occur on the same side of the noun),cdd0000
4-3,Table3,Adj is not verb & Adj closer to noun than Num,Semantic adjectives are not verbs; adjective is closer to noun than numeral (both occur on the same side of the noun),d0000dd
4-4,Table3,Adj is not verb & Adj further from noun than Num,Semantic adjectives are not verbs; numeral is closer to noun than adjective (both occur on the same side of the noun),ddd0000
5-1,Table4,Adj is verb & Adj closer to noun than Dem,Semantic adjectives are verbs; adjective is closer to noun than demonstrative (both occur on the same side of the noun),c0000dd
5-2,Table4,Adj is verb & Adj further from noun than Dem,Semantic adjectives are verbs; demonstrative is closer to noun than adjective (both occur on the same side of the noun),cdd0000
5-3,Table4,Adj is not verb & Adj closer to noun than Dem,Semantic adjectives are not verbs; adjective is closer to noun than demonstrative (both occur on the same side of the noun),d0000dd
5-4,Table4,Adj is not verb & Adj further from noun than Dem,Semantic adjectives are not verbs; demonstrative is closer to noun than adjective (both occur on the same side of the noun),ddd0000
6-1,Table5,Lg has numeral classifiers & Num closer to noun than Dem,Has numeral classifiers; numeral is closer to noun than demonstrative (both occur on the same side of the noun),s009900
