ID,Name,Description
Table1,"Order of demonstrative, numeral, adjective and noun",Word order type
Table3,Position of verbal/nonverbal adjectives and numerals,Relationship between whether semantic adjectives are verbs and whether they occur closer to the noun than numerals when both occur on the same side of the noun
Table4,Position of verbal/nonverbal adjectives and demonstratives, Relationship between whether semantic adjectives are verbs and whether they occur closer to the noun than demonstratives when both occur on the same side of the noun
Table5,Numeral classifiers and relative position of numerals and demonstratives,Relationship between whether a language has numeral classifiers and whether numerals occur closer to the noun than the demonstratives when both occur on the same side of the noun
Table6,Numeral classifiers and relative position of numerals and adjectives,Relationship between whether a language has numeral classifiers and whether semantic adjectives occur closer to the noun than the numeral when both occur on the same side of the noun
Table7,Position of verbal/nonverbal adjectives with respect to the noun,Relationship between whether semantic adjectives are verbs and the order of adjective and noun
Table8,Numeral classifiers and noun-based position of numerals and demonstratives,Relationship between whether the language has numeral classifiers and whether numeral and demonstrative occur on the same side of the noun
Table9,Numeral classifiers and noun-based position of numerals and adjectives,Relationship between whether the language has numeral classifiers and whether numeral and adjective occur on the same side of the noun
Table10,Position of adjectives and relative clauses,Relationship between the order of semantic adjective and noun and the order of relative clause and noun in languages where semantic adjectives are not verbs
Table13,Adjusted frequencies,"Adjusted frequencies bearing on Greenberg’s Universal 18, distinguishing languages where semantic adjectives are verbs and languages where they are not verbs"
